263415221348655,0,1
263415318570738,1,1
263415416530894,0,1
263415513640790,0,1
263415612142613,0,1
263415708635477,0,1
263415806437977,0,1
263415903632613,0,1
263416001412717,0,1
263416098585581,0,1
263416196157665,0,1
263416293854695,0,1
263416391275737,0,0
263416488589018,0,0
263416586239383,1,0
263416684009487,1,0
263416781339748,1,0
263416878852508,0,0
263416976387560,0,0
263417073797090,0,0
263417171187455,0,1
263417268575632,0,1
263417366205372,0,1
263417463824487,0,1
263417561187820,0,0
263417658574851,0,0
263417756217508,1,0
263417853682039,1,0
263417951846466,0,0
263418048659851,0,0
263418146348966,0,0
263418243647508,0,0
263418341221465,0,1
263418438627612,0,1
263418536346413,0,1
263418633547090,0,1
263418731052350,0,0
263418828501257,0,0
263418925988809,1,0
263419023499538,1,0
263419120992194,0,0
263419218684694,0,0
263419316280007,0,0
263419413664330,0,1
263419511229694,0,1
263419608739329,0,1
263419706339434,0,0
263419803811101,0,0
263419901262298,0,0
263419998907923,1,0
263420096129017,1,0
263420193468913,0,0
263420291122193,0,0
263420388658495,0,0
263420486432662,0,1
263420584888547,0,1
263420680990005,0,1
263420778505891,0,1
263420875998808,0,0
263420973862766,1,0
263421071287766,1,0
263421168727193,0,0
263421266190005,0,0
263421363682819,0,0
263421461195995,0,0
263421558708860,0,1
263421656308131,0,1
263421753709589,0,1
263421851233390,0,0
263421948656985,0,0
263422046225162,1,0
263422143723600,1,0
263422242353391,0,0
263422338744588,0,0
263422436182297,0,0
263422533689067,0,1
263422631443599,0,1
263422728678860,0,1
263422826627453,0,1
263422923851516,0,0
263423021193443,1,0
263423118884120,1,0
263423216166985,0,0
263423313710579,0,0
263423411189537,0,0
263423508705057,0,0
263423606317192,0,1
263423703730420,0,1
263423801158651,0,1
263423898736151,0,0
263423996250995,0,0
263424093780891,1,0
263424191927037,1,0
263424288699588,0,0
263424386182245,0,0
263424483596828,0,0
263424581173077,0,1
263424678669952,0,1
263424776286410,0,1
263424873501619,0,0
263424971215681,0,0
263425068727036,1,0
263425166027192,1,0
263425263379953,0,0
263425361240629,0,0
263425459771567,0,0
263425556198494,0,1
263425653986255,0,1
263425754559901,0,1
263425848688233,0,1
263425946158442,0,0
263426043843703,1,0
263426141845890,1,0
263426239233025,1,0
263426336787504,0,0
263426434039380,0,0
263426532118651,0,0
263426628642869,0,1
263426726293493,0,1
263426824072608,0,1
263426921157452,0,0
263427018560107,0,0
263427116168649,1,0
263427213680159,1,0
263427311220837,0,0
263427408679795,0,0
263427506195472,0,0
263427603938077,0,1
263427701185108,0,1
263427798703181,0,0
263427896163024,0,0
263427993664691,0,0
263428091187659,1,0
263428188834326,1,0
263428286242764,0,0
